full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Theo Walcott,30,Premier League,2018/2019,Forward,Everton,2122,1114,1008,England,37,13,11,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,90,169,-1,4
Cenk Tosun,28,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,5,5,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,75,38,-1,6
Richarlison de Andrade,22,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,15,17,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,252,-1,1
Mason Holgate,23,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,369,161,16
Oumar Niasse,29,Premier League,2018/2019,Forward,Cardiff City,998,435,563,Senegal,18,5,7,0,0,0,0,0,0,0,0,3,2,1,12,5,7,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,415,370,-1,13
Lucas Digne,26,Premier League,2018/2019,Defender,Everton,2990,1511,1479,France,35,17,16,4,2,2,4,2,2,0,0,14,9,5,36,16,20,6,1,0.24,0.12,0.12,0.12,0.12,748,1.08,83,85,427,748,0.21,142,128,43,5
Sandro Ramirez,24,Premier League,2018/2019,Forward,Everton,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Maarten Stekelenburg,37,Premier League,2018/2019,Goalkeeper,Everton,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tom Davies,21,Premier League,2018/2019,Midfielder,Everton,975,520,455,England,16,5,5,0,0,0,0,0,0,0,0,5,3,2,18,12,6,3,0,0,0,0,0,0,0,1.66,54,61,325,0,0.28,416,371,-1,18
Dominic Calvert-Lewin,22,Premier League,2018/2019,Forward,Everton,1774,1023,751,England,35,11,8,6,3,3,2,2,0,0,0,13,8,5,24,12,12,3,0,0.41,0.1,0.3,0.26,0.36,296,1.22,74,51,591,887,0.15,64,149,-1,3
Alisson Becker,27,Premier League,2018/2019,Goalkeeper,Liverpool,3420,1710,1710,Brazil,38,19,19,0,0,0,0,0,0,0,0,21,12,9,19,8,11,1,0,0,0,0,0,0,0,0.5,180,90,3420,0,0.03,417,372,3,16
Virgil van Dijk,28,Premier League,2018/2019,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1,0,0,21,12,9,19,8,11,1,0,0.16,0.05,0.11,0.11,0.11,846,0.51,178,89,3385,1693,0.03,155,208,4,6
Andrew Robertson,25,Premier League,2018/2019,Defender,Liverpool,3219,1599,1620,Scotland,36,18,18,0,0,0,11,9,2,0,0,21,12,9,17,7,10,4,0,0.31,0.31,0,0,0,0,0.48,189,89,805,293,0.11,418,19,2,20
Joe Gomez,22,Premier League,2018/2019,Defender,Liverpool,1060,493,567,England,16,5,7,0,0,0,0,0,0,0,0,11,8,3,3,0,3,2,0,0,0,0,0,0,0,0.25,353,66,530,0,0.17,407,363,1,19
Trent Alexander-Arnold,21,Premier League,2018/2019,Defender,Liverpool,2467,1266,1201,England,29,14,13,1,0,1,12,8,4,0,0,16,11,5,14,4,10,3,0,0.47,0.44,0.04,0,0.07,2467,0.51,176,85,822,206,0.11,245,6,6,13
James Milner,33,Premier League,2018/2019,Midfielder,Liverpool,1785,646,1139,England,31,7,12,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0,0.4,357,0.55,162,58,255,446,0.35,79,64,-1,5
Georginio Wijnaldum,29,Premier League,2018/2019,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,17,15,3,1,2,0,0,0,0,0,21,12,9,15,6,9,3,0,0.1,0,0.1,0.06,0.14,912,0.49,182,78,912,0,0.1,158,350,-1,8
Naby Deco Keïta,24,Premier League,2018/2019,Midfielder,Liverpool,1392,729,663,Guinea,25,8,8,2,1,1,1,1,0,0,0,15,10,5,7,4,3,0,0,0.19,0.06,0.13,0.12,0.14,696,0.45,199,56,0,1392,0,132,194,-1,9
Roberto Firmino,28,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,15,12,7,5,6,3,3,1,0,18,9,9,13,7,6,0,0,0.62,0.21,0.41,0.47,0.35,218,0.45,202,77,0,437,0,32,62,-1,3
Mohamed Salah,27,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,18,22,13,9,8,5,3,3,0,21,12,9,18,8,10,1,0,0.83,0.22,0.61,0.69,0.52,148,0.5,181,86,3262,408,0.03,7,59,-1,2
Sadio Mané,27,Premier League,2018/2019,Forward,Liverpool,3086,1643,1443,Senegal,36,19,16,22,18,4,1,0,1,0,0,20,12,8,18,8,10,2,0,0.67,0.03,0.64,0.99,0.25,140,0.52,171,86,1543,3086,0.06,4,248,-1,1
Jordan Henderson,29,Premier League,2018/2019,Midfielder,Liverpool,1983,925,1058,England,32,9,12,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0,0.09,1983,0.5,180,62,661,661,0.14,221,106,-1,14
Xherdan Shaqiri,28,Premier League,2018/2019,Midfielder,Liverpool,1058,538,520,Switzerland,24,6,5,6,5,1,3,0,3,0,0,12,7,5,5,3,2,2,0,0.77,0.26,0.51,0.84,0.17,176,0.43,212,44,529,353,0.17,15,36,-1,4
Daniel Sturridge,30,Premier League,2018/2019,Forward,Liverpool,496,152,344,England,18,1,3,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,48,79,-1,10
Loris Karius,26,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nathaniel Clyne,28,Premier League,2018/2019,Defender,AFC Bournemouth,1254,684,570,England,18,8,6,0,0,0,1,0,1,0,0,6,4,2,24,6,18,2,0,0.07,0.07,0,0,0,0,1.72,52,70,627,1254,0.14,392,184,147,22
Fabinho,26,Premier League,2018/2019,Midfielder,Liverpool,2013,1051,962,Brazil,28,11,10,1,1,0,2,1,1,0,0,15,7,8,13,6,7,6,0,0.13,0.09,0.04,0.09,0,2013,0.58,155,72,336,1007,0.27,228,160,-1,15
Adam David Lallana,31,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,2,3,0,0,0,0,0,0,0,0,6,1,5,2,1,1,1,0,0,0,0,0,0,0,0.39,233,36,465,0,0.19,379,337,-1,18
Łukasz Fabiański,34,Premier League,2018/2019,Goalkeeper,West Ham United,3420,1710,1710,Poland,38,19,19,0,0,0,0,0,0,0,0,7,4,3,48,23,25,0,0,0,0,0,0,0,0,1.26,71,90,0,0,0,391,338,81,19
Angelo Ogbonna,31,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,10,10,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,217,202,124,13
Arthur Masuaku,26,Premier League,2018/2019,Defender,West Ham United,1700,766,934,France,22,9,10,0,0,0,1,1,0,0,0,5,2,3,26,11,15,2,0,0.05,0.05,0,0,0,0,1.38,65,77,850,1700,0.11,368,201,97,25
Ryan Fredericks,27,Premier League,2018/2019,Midfielder,West Ham United,1085,404,681,England,15,4,8,1,1,0,0,0,0,0,0,3,2,1,13,1,12,5,0,0.08,0,0.08,0.22,0,1085,1.08,83,72,217,0,0.41,190,330,-1,11
Fabián Cornelio Balbuena González,28,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0,0.04,0,0.08,2014,1.21,75,88,1007,0,0.09,227,339,67,10
Mark Noble,32,Premier League,2018/2019,Midfielder,West Ham United,2308,1147,1161,England,31,14,15,5,2,3,5,4,1,4,0,7,4,3,29,12,17,7,1,0.39,0.19,0.19,0.16,0.23,462,1.13,80,74,289,462,0.31,101,68,-1,5
Jack Wilshere,27,Premier League,2018/2019,Midfielder,West Ham United,389,181,208,England,8,2,2,0,0,0,1,0,1,0,0,2,1,1,8,2,6,2,0,0.23,0.23,0,0,0,0,1.85,49,49,195,389,0.46,369,47,-1,24
Michail Antonio,29,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,11,11,6,4,2,4,2,2,0,0,5,3,2,26,10,16,3,0,0.43,0.17,0.26,0.36,0.16,350,1.11,81,64,700,525,0.13,76,85,-1,4
Felipe Anderson Pereira Gomes,26,Premier League,2018/2019,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2,0,0,6,3,3,43,21,22,3,0,0.38,0.12,0.27,0.25,0.28,339,1.27,71,85,1018,764,0.09,71,126,-1,2
Declan Rice,20,Premier League,2018/2019,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0,0,0,6,3,3,42,21,21,4,0,0.06,0,0.06,0.13,0,1503,1.26,72,88,751,0,0.12,215,344,-1,9
Marko Arnautović,30,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,13,11,10,7,3,4,1,3,1,0,5,3,2,31,17,14,3,0,0.63,0.18,0.45,0.58,0.29,200,1.4,65,71,667,500,0.14,26,83,-1,1
Robert Snodgrass,32,Premier League,2018/2019,Midfielder,West Ham United,2222,1108,1114,Scotland,33,13,12,2,1,1,5,4,1,0,0,6,3,3,31,16,15,10,0,0.28,0.2,0.08,0.08,0.08,1111,1.26,72,67,222,444,0.41,182,65,-1,8
Javier Hernandez,31,Premier League,2018/2019,Forward,West Ham United,1335,694,641,Mexico,25,7,7,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,23,189,-1,3
Andriy Yarmolenko,30,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,3,2,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,347,-1,7
Pablo Zabaleta,34,Premier League,2018/2019,Defender,West Ham United,2092,1216,876,Argentina,26,14,9,0,0,0,1,1,0,0,0,4,2,2,32,22,10,4,0,0.04,0.04,0,0,0,0,1.38,65,80,523,2092,0.17,370,216,99,23
Adrián San Miguel del Castillo,32,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Pedro Obiang,27,Premier League,2018/2019,Midfielder,West Ham United,1121,609,512,Equatorial Guinea,24,7,5,0,0,0,1,0,1,0,0,7,4,3,17,9,8,0,0,0.08,0.08,0,0,0,0,1.36,66,47,0,1121,0,371,173,-1,22
Issa Diop,22,Premier League,2018/2019,Defender,West Ham United,2970,1530,1440,France,33,17,16,1,1,0,0,0,0,0,0,7,4,3,38,20,18,4,0,0.03,0,0.03,0.06,0,2970,1.15,78,90,743,0,0.12,248,349,54,14
Alex McCarthy,30,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0,0,0,4,2,2,37,16,21,1,0,0,0,0,0,0,0,1.48,61,90,2250,0,0.04,372,373,114,21
Ryan Bertrand,30,Premier League,2018/2019,Defender,Southampton,2160,1170,990,England,24,13,11,1,1,0,0,0,0,0,0,6,3,3,36,15,21,8,0,0.04,0,0.04,0.08,0,2160,1.5,60,90,270,0,0.33,241,352,116,13
Lucas Perez,31,Premier League,2018/2019,Forward,West Ham United,468,287,181,Spain,15,2,2,3,3,0,0,0,0,0,0,3,2,1,9,5,4,0,0,0.58,0,0.58,0.94,0,156,1.73,52,31,0,0,0,10,293,-1,6
Aaron Cresswell,29,Premier League,2018/2019,Defender,West Ham United,1645,944,701,England,20,10,8,0,0,0,1,1,0,0,0,3,2,1,22,12,10,1,0,0.05,0.05,0,0,0,0,1.2,75,82,1645,1645,0.05,292,212,65,20
Kurt Zouma,25,Premier League,2018/2019,Defender,Everton,2610,1350,1260,France,32,15,14,2,1,1,2,0,2,0,0,11,8,3,37,17,20,5,1,0.14,0.07,0.07,0.07,0.07,1305,1.28,71,82,522,1305,0.17,197,181,83,7
Ademola Lookman,22,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,2,1,0,0,0,2,2,0,0,0,8,5,3,7,2,5,0,0,0.3,0.3,0,0,0,0,1.05,86,29,0,301,0,287,21,-1,17
Jonjoe Kenny,22,Premier League,2018/2019,Defender,Everton,790,413,377,England,10,4,4,0,0,0,1,1,0,0,0,2,1,1,14,7,7,1,0,0.11,0.11,0,0,0,0,1.59,56,79,790,790,0.11,308,142,129,15
Shane Long,32,Premier League,2018/2019,Forward,Southampton,1269,629,640,Republic of Ireland,26,6,6,5,3,2,1,1,0,0,0,5,2,3,20,7,13,3,0,0.43,0.07,0.35,0.43,0.28,254,1.42,63,49,423,1269,0.21,50,180,-1,4
Maya Yoshida,31,Premier League,2018/2019,Defender,Southampton,1520,800,720,Japan,17,9,8,0,0,0,1,1,0,0,0,3,1,2,27,14,13,0,0,0.06,0.06,0,0,0,0,1.6,56,89,0,1520,0,271,192,133,23
Matt Targett,24,Premier League,2018/2019,Defender,Southampton,1185,483,702,England,16,5,8,1,1,0,3,2,1,0,0,1,0,1,24,10,14,2,0,0.3,0.23,0.08,0.19,0,1185,1.82,49,74,593,395,0.15,189,50,151,11
Nampalys Mendy,27,Premier League,2018/2019,Midfielder,Leicester City,2088,1006,1082,France,31,11,12,0,0,0,0,0,0,0,0,9,5,4,26,11,15,5,0,0,0,0,0,0,0,1.12,80,67,418,0,0.22,288,284,-1,18
Adama Traoré Diarra,23,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,2,6,1,0,1,1,1,0,0,0,6,4,2,11,2,9,1,0,0.2,0.1,0.1,0,0.16,890,1.11,81,31,890,890,0.1,162,145,-1,9
Kieran Trippier,29,Premier League,2018/2019,Defender,Tottenham Hotspur,2278,1188,1090,England,27,13,13,1,1,0,3,0,3,0,0,10,5,5,20,10,10,2,0,0.16,0.12,0.04,0.08,0,2278,0.79,114,84,1139,759,0.08,247,125,19,12
Erik Lamela,27,Premier League,2018/2019,Midfielder,Tottenham Hotspur,971,493,478,Argentina,19,4,5,4,1,3,2,1,1,0,0,5,3,2,11,5,6,2,0,0.56,0.19,0.37,0.18,0.56,243,1.02,88,51,486,486,0.19,44,67,-1,6
Harry Winks,23,Premier League,2018/2019,Midfielder,Tottenham Hotspur,1591,832,759,England,26,9,8,1,0,1,0,0,0,0,0,10,4,6,16,8,8,4,0,0.06,0,0.06,0,0.12,1591,0.91,99,61,398,0,0.23,207,254,-1,9
Danny Rose,29,Premier League,2018/2019,Defender,Tottenham Hotspur,1806,969,837,England,26,11,9,0,0,0,3,1,2,0,0,10,7,3,12,6,6,5,0,0.15,0.15,0,0,0,0,0.6,151,69,361,602,0.25,289,97,11,17
André-Frank Zambo Anguissa,24,Premier League,2018/2019,Midfielder,Fulham,1518,587,931,Cameroon,22,6,10,0,0,0,0,0,0,0,0,3,2,1,30,10,20,3,1,0,0,0,0,0,0,1.78,51,69,506,0,0.18,290,256,-1,19
Mateo Kovačić,25,Premier League,2018/2019,Midfielder,Chelsea,1743,968,775,Croatia,32,12,9,0,0,0,2,1,1,0,0,12,8,4,18,4,14,3,0,0.1,0.1,0,0,0,0,0.93,97,54,581,872,0.15,291,147,-1,20
Nacho Monreal,33,Premier League,2018/2019,Defender,Arsenal,1861,781,1080,Spain,22,9,12,1,1,0,3,0,3,0,0,6,5,1,21,3,18,5,0,0.19,0.15,0.05,0.12,0,1861,1.02,89,85,372,620,0.24,219,93,36,11
Danny Welbeck,29,Premier League,2018/2019,Forward,Arsenal,147,47,100,England,8,0,1,1,1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,1.22,0.61,0.61,1.91,0,147,1.22,74,18,0,147,0,-1,-1,-1,13
David Silva,33,Premier League,2018/2019,Midfielder,Manchester City,2411,1088,1323,Spain,33,13,15,6,4,2,8,3,5,0,0,17,8,9,14,7,7,2,0,0.52,0.3,0.22,0.33,0.14,402,0.52,172,73,1206,301,0.07,84,20,-1,7
Abdelhamid Sabiri,23,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,5.51,16,25,0,0,0,-1,-1,-1,22
Isaac Mbenza,23,Premier League,2018/2019,Forward,Huddersfield Town,981,589,392,Belgium,22,5,5,1,1,0,1,1,0,0,0,4,2,2,25,15,10,1,0,0.18,0.09,0.09,0.15,0,981,2.29,39,45,981,981,0.09,170,153,-1,11
Daniel Williams,30,Premier League,2018/2019,Midfielder,Huddersfield Town,93,13,80,USA,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.97,93,19,93,0,0.97,-1,-1,-1,21
Kevin Long,29,Premier League,2018/2019,Defender,Burnley,513,90,423,Republic of Ireland,6,1,4,0,0,0,1,0,1,0,0,1,0,1,7,2,5,0,0,0.18,0.18,0,0,0,0,1.23,73,86,0,513,0,293,77,71,15
Martín Montoya,28,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,1176,990,Spain,25,13,11,0,0,0,1,0,1,0,0,3,3,0,38,18,20,4,0,0.04,0.04,0,0,0,0,1.58,57,87,542,2166,0.17,294,227,128,13
Jesse Lingard,26,Premier League,2018/2019,Midfielder,Manchester United,1668,963,705,England,27,11,8,4,1,3,2,1,1,1,0,6,2,4,25,16,9,3,0,0.32,0.11,0.22,0.09,0.38,417,1.35,67,62,556,834,0.16,85,139,-1,5
Ander Herrera,30,Premier League,2018/2019,Midfielder,Manchester United,1404,617,787,Spain,22,8,8,2,0,2,3,3,0,0,0,6,1,5,17,9,8,4,0,0.32,0.19,0.13,0,0.23,702,1.09,83,64,351,468,0.26,137,69,-1,7
Max Meyer,24,Premier League,2018/2019,Midfielder,Crystal Palace,1414,718,696,Germany,29,7,8,1,0,1,2,0,2,0,0,8,7,1,19,5,14,3,0,0.19,0.13,0.06,0,0.13,1414,1.21,74,49,471,707,0.19,216,116,-1,8
Jordan Ayew,28,Premier League,2018/2019,Forward,Crystal Palace,1186,616,570,Ghana,20,8,6,1,0,1,2,0,2,0,0,6,3,3,13,7,6,3,0,0.23,0.15,0.08,0,0.16,1186,0.99,91,59,395,593,0.23,184,90,-1,12
Alberto Moreno,27,Premier League,2018/2019,Defender,Liverpool,155,90,65,Spain,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1.16,78,78,0,0,0,-1,-1,-1,17
Simon Mignolet,31,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel Matip,28,Premier League,2018/2019,Defender,Liverpool,1532,811,721,Cameroon,22,9,8,1,1,0,0,0,0,0,0,11,6,5,9,5,4,3,0,0.06,0,0.06,0.11,0,1532,0.53,170,70,511,0,0.18,214,327,8,11
Fabian Delph,30,Premier League,2018/2019,Midfielder,Manchester City,725,266,459,England,11,3,5,0,0,0,1,1,0,0,0,4,1,3,9,4,5,2,1,0.12,0.12,0,0,0,0,1.12,81,66,242,725,0.37,295,129,-1,19
Arijanet Muric,21,Premier League,2018/2019,Goalkeeper,Manchester City,0,0,0,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jefferson Lerma,25,Premier League,2018/2019,Midfielder,AFC Bournemouth,2511,1319,1192,Colombia,30,15,14,2,0,2,0,0,0,0,0,8,4,4,45,18,27,12,0,0.07,0,0.07,0,0.15,1256,1.61,56,84,209,0,0.43,201,313,-1,6
Bernard Anício Caldeira Duarte,27,Premier League,2018/2019,Midfielder,Everton,2128,960,1168,Brazil,34,11,14,1,0,1,3,1,2,0,0,14,9,5,19,5,14,5,0,0.17,0.13,0.04,0,0.08,2128,0.8,112,63,426,709,0.21,242,111,-1,12
Kieran Dowell,22,Premier League,2018/2019,Midfielder,Everton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Steven Davis,34,Premier League,2018/2019,Midfielder,Southampton,96,6,90,Northern Ireland,3,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0,0,0.94,0.94,0,0,0,0,2.81,32,32,0,96,0,-1,-1,-1,22
Shinji Okazaki,33,Premier League,2018/2019,Forward,Leicester City,269,126,143,Japan,21,0,1,0,0,0,1,0,1,0,0,2,2,0,1,0,1,0,0,0.33,0.33,0,0,0,0,0.33,269,13,0,269,0,-1,-1,-1,19
Markus Suttner,32,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sullay Kaikai,24,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marcus Bettinelli,27,Premier League,2018/2019,Goalkeeper,Fulham,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,0,0,0,19,7,12,1,0,0,0,0,0,0,0,2.71,33,90,630,0,0.14,296,315,174,14
Denis Odoi,31,Premier League,2018/2019,Defender,Fulham,2593,1153,1440,Belgium,31,13,16,0,0,0,1,0,1,0,0,5,3,2,59,23,36,4,0,0.03,0.03,0,0,0,0,2.05,44,84,648,2593,0.14,286,240,165,17
Jamie Sterry,24,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sean Longstaff,22,Premier League,2018/2019,Midfielder,Newcastle United,688,355,333,England,9,4,4,1,1,0,0,0,0,0,0,3,3,0,8,1,7,2,0,0.13,0,0.13,0.25,0,688,1.05,86,76,344,0,0.26,130,317,-1,11
Antonio Valencia,34,Premier League,2018/2019,Defender,Manchester United,466,196,270,Ecuador,6,2,3,0,0,0,0,0,0,0,0,2,0,2,5,4,1,2,0,0,0,0,0,0,0,0.97,93,78,233,0,0.39,299,320,29,24
Phil Jones,27,Premier League,2018/2019,Defender,Manchester United,1263,652,611,England,18,8,7,0,0,0,1,0,1,0,0,4,0,4,16,9,7,1,0,0.07,0.07,0,0,0,0,1.14,79,70,1263,1263,0.07,300,183,51,23
Nemanja Matić,31,Premier League,2018/2019,Midfielder,Manchester United,2441,1051,1390,Serbia,28,12,16,1,1,0,0,0,0,0,0,6,1,5,35,14,21,8,1,0.04,0,0.04,0.09,0,2441,1.29,70,87,305,0,0.29,229,323,-1,11
Alfie Mawson,25,Premier League,2018/2019,Defender,Fulham,1131,547,584,England,15,7,6,0,0,0,0,0,0,0,0,3,2,1,25,10,15,2,0,0,0,0,0,0,0,1.99,45,75,566,0,0.16,302,324,160,11
Diego Rico,26,Premier League,2018/2019,Defender,AFC Bournemouth,607,148,459,Spain,12,1,4,0,0,0,0,0,0,0,0,0,0,0,18,3,15,1,0,0,0,0,0,0,0,2.67,34,51,607,0,0.15,303,325,172,21
Kadeem Harris,26,Premier League,2018/2019,Midfielder,Cardiff City,366,133,233,England,13,1,2,1,1,0,0,0,0,0,0,4,1,3,5,1,4,1,0,0.25,0,0.25,0.68,0,366,1.23,73,28,366,0,0.25,78,292,-1,11
Brian Murphy,36,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Dwight McNeil,20,Premier League,2018/2019,Forward,Burnley,1599,941,658,England,21,11,8,3,3,0,4,2,2,0,0,4,3,1,22,12,10,2,0,0.39,0.23,0.17,0.29,0,533,1.24,73,76,800,400,0.11,111,53,-1,6
Matěj Vydra,27,Premier League,2018/2019,Forward,Burnley,311,91,220,Czech Republic,13,1,2,1,1,0,1,0,1,0,0,1,1,0,4,0,4,1,0,0.58,0.29,0.29,0.99,0,311,1.16,78,24,311,311,0.29,66,25,-1,12
Nathaniel Chalobah,25,Premier League,2018/2019,Midfielder,Watford,266,67,199,England,9,1,2,0,0,0,0,0,0,0,0,1,1,0,5,2,3,2,0,0,0,0,0,0,0,1.69,53,30,133,0,0.68,-1,-1,-1,19
Victor Wanyama,28,Premier League,2018/2019,Midfielder,Tottenham Hotspur,509,302,207,Kenya,13,3,1,1,1,0,0,0,0,0,0,6,4,2,3,3,0,2,0,0.18,0,0.18,0.3,0,509,0.53,170,39,255,0,0.35,106,295,-1,11
Paulo Dino Gazzaniga,27,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,0,270,Argentina,3,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,15
Danny Drinkwater,29,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Oleksandr Zinchenko,22,Premier League,2018/2019,Midfielder,Manchester City,1153,613,540,Ukraine,14,8,6,0,0,0,3,2,1,0,0,10,6,4,4,2,2,1,0,0.23,0.23,0,0,0,0,0.31,288,82,1153,384,0.08,284,52,-1,20
Floyd Ayité,30,Premier League,2018/2019,Midfielder,Fulham,465,296,169,Togo,16,3,0,1,0,1,0,0,0,0,0,3,1,2,13,7,6,0,0,0.19,0,0.19,0,0.53,465,2.52,36,29,0,0,0,99,297,-1,9
Junior Stanislas,30,Premier League,2018/2019,Midfielder,AFC Bournemouth,1027,559,468,England,23,6,5,2,1,1,3,3,0,1,0,7,4,3,24,8,16,1,0,0.44,0.26,0.18,0.16,0.19,514,2.1,43,45,1027,342,0.09,103,34,-1,7
Sergio Germán Romero,32,Premier League,2018/2019,Goalkeeper,Manchester United,0,0,0,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
